Timestamp,Amount,Settlement Currency,Transaction Type,Merchant Name,Status,Note
2026-01-07 11:14:23,-1.18,USD,Credit Card,Namecheap,SETTLED,
2026-01-05 16:48:54,0.0,USD,Credit Card,Namecheap,SETTLED,
2026-01-04 11:14:57,-88.65,USD,Credit Card,Walmart,SETTLED,
2026-01-04 11:14:18,-48.65,USD,Credit Card,Walmart,SETTLED,
2026-01-03 11:23:08,-60.86,USD,Credit Card,Pizza Hut,SETTLED,
2026-01-03 11:14:32,-21.32,USD,Credit Card,CLAUDE.AI SUBSCRIPTION,SETTLED,
2026-01-02 17:55:21,0.0,USD,Credit Card,Walmart,SETTLED,
2026-01-02 11:26:04,-23.35,USD,Credit Card,TradingView,SETTLED,
2026-01-02 11:16:56,-99.0,USD,Credit Card,Flux Charts Premium,SETTLED,
2026-01-02 11:16:31,-3.27,USD,Credit Card,Facebook,SETTLED,
2026-01-01 23:01:09,0.0,USD,Credit Card,Pizza Hut,SETTLED,
2026-01-01 11:17:49,-43.15,USD,Credit Card,myFICO,SETTLED,
2025-12-31 11:17:09,-20.0,USD,Credit Card,Facebook,SETTLED,
2025-12-31 11:16:52,-31.25,USD,Credit Card,El Guacamole Mexican Grill,SETTLED,
2025-12-31 08:25:13,0.0,USD,Credit Card,Pinterest,SETTLED,
2025-12-31 06:44:55,-1.0,USD,Credit Card,METAPAY*OEB3,SETTLED,
2025-12-31 06:34:59,0.0,USD,Credit Card,Facebook,SETTLED,
2025-12-25 11:15:04,-53.72,USD,Credit Card,Replit,SETTLED,
2025-12-24 17:14:43,-1.0,USD,Credit Card,INTEGRITY LED LLC,SETTLED,
2025-12-24 15:41:13,0.0,USD,Credit Card,Replit,SETTLED,
2025-12-24 11:21:55,-23.45,USD,Credit Card,ElevenLabs,SETTLED,
2025-12-23 15:04:25,0.0,USD,Credit Card,ElevenLabs,SETTLED,
2025-12-23 15:02:21,0.0,USD,Credit Card,ElevenLabs,SETTLED,
2025-12-22 14:20:47,0.0,USD,Credit Card,Apple,SETTLED,
2025-12-22 11:22:27,-10.81,USD,Credit Card,Apple,SETTLED,
2025-12-22 11:21:28,-29.99,USD,Credit Card,Apple,SETTLED,
2025-12-22 11:15:41,-42.64,USD,Credit Card,Replit,SETTLED,
2025-12-21 15:03:38,0.0,USD,Credit Card,Replit,SETTLED,
2025-12-21 15:00:44,0.0,USD,Credit Card,Replit,SETTLED,
2025-12-19 11:17:07,-21.28,USD,Credit Card,OpenAI,SETTLED,
2025-12-18 15:53:48,0.0,USD,Credit Card,Apple,SETTLED,
2025-12-18 11:21:22,-17.31,USD,Credit Card,Amazon,SETTLED,
2025-12-17 11:23:05,-64.94,USD,Credit Card,Amazon,SETTLED,
2025-12-17 11:18:11,-1.04,USD,Credit Card,Amazon,SETTLED,
2025-12-17 02:26:41,0.0,USD,Credit Card,Amazon,SETTLED,
2025-12-11 11:21:40,-162.36,USD,Credit Card,Amazon,SETTLED,
2025-12-04 11:18:31,-24.9,USD,Credit Card,HighLevel,SETTLED,
2025-12-03 11:16:52,-26.85,USD,Credit Card,HighLevel,SETTLED,
2025-11-28 20:19:31,-1.0,USD,Credit Card,HighLevel,SETTLED,
2025-11-28 20:19:27,0.0,USD,Credit Card,HighLevel,SETTLED,
2025-11-27 11:17:11,-94.88,USD,Credit Card,Topstep,SETTLED,
2025-11-25 11:16:09,-52.24,USD,Credit Card,Topstep,SETTLED,
2025-11-23 11:20:30,-52.09,USD,Credit Card,Simple Mobile,SETTLED,
2025-11-21 16:14:27,0.0,USD,Credit Card,Topstep,SETTLED,
2025-11-21 16:06:11,0.0,USD,Credit Card,Simple Mobile,SETTLED,
2025-11-08 11:24:43,-99.35,USD,Credit Card,Amazon,SETTLED,
2025-11-07 11:23:57,-46.36,USD,Credit Card,Amazon,SETTLED,
2025-10-18 10:27:41,-109.64,USD,Credit Card,Amazon,SETTLED,
2025-10-14 10:23:46,-41.76,USD,Credit Card,QuikTrip,SETTLED,
2025-10-14 10:23:24,-16.96,USD,Credit Card,QuikTrip,SETTLED,
2025-10-14 01:04:44,0.0,USD,Credit Card,Amazon,SETTLED,
2025-09-11 10:25:10,-17.16,USD,Credit Card,QuikTrip,SETTLED,
2025-09-09 10:22:51,-46.69,USD,Credit Card,McDonald's,SETTLED,
2025-09-09 10:17:29,-101.63,USD,Credit Card,Texas Cheer Liquor 3,SETTLED,
2025-09-09 10:16:38,-73.07,USD,Credit Card,Rough Country 4,SETTLED,
2025-09-06 10:45:06,-36.12,USD,Credit Card,TradingView,SETTLED,
2025-09-06 10:45:05,-72.3,USD,Credit Card,TradingView,SETTLED,
2025-09-05 10:20:07,-837.0,USD,Credit Card,ELLIEMD,SETTLED,
2025-09-03 15:30:07,-2.13,USD,Credit Card,ELLIEMD,SETTLED,
2025-08-24 14:23:42,0.0,USD,Credit Card,Tellypay,SETTLED,
2025-08-24 14:23:37,0.0,USD,Credit Card,Tellypay,SETTLED,
